rank,path,stage,layer,axis,restoration
1,icl_predictor.tf_icl.blocks.6,ICL,6,icl,1.0
2,icl_predictor.tf_icl.blocks.10,ICL,10,icl,1.0
3,icl_predictor.tf_icl.blocks.11,ICL,11,icl,1.0
4,icl_predictor.tf_icl.blocks.9,ICL,9,icl,1.0
5,icl_predictor.tf_icl.blocks.8,ICL,8,icl,1.0
6,icl_predictor.tf_icl.blocks.4,ICL,4,icl,1.0
7,icl_predictor.tf_icl.blocks.5,ICL,5,icl,1.0
8,icl_predictor.tf_icl.blocks.7,ICL,7,icl,1.0
9,icl_predictor.tf_icl.blocks.2,ICL,2,icl,1.0
10,icl_predictor.tf_icl.blocks.0,ICL,0,icl,1.0
11,icl_predictor.tf_icl.blocks.1,ICL,1,icl,1.0
12,icl_predictor.tf_icl.blocks.3,ICL,3,icl,1.0
13,icl_predictor.tf_icl.blocks.0.attn,ICL,0,icl,0.14
14,icl_predictor.tf_icl.blocks.2.attn,ICL,2,icl,0.06
15,icl_predictor.tf_icl.blocks.1.attn,ICL,1,icl,0.06
16,icl_predictor.tf_icl.blocks.3.attn,ICL,3,icl,0.04
17,icl_predictor.tf_icl.blocks.8.attn,ICL,8,icl,0.02
18,icl_predictor.tf_icl.blocks.4.attn,ICL,4,icl,0.02
19,icl_predictor.tf_icl.blocks.6.attn,ICL,6,icl,0.02
20,icl_predictor.tf_icl.blocks.5.attn,ICL,5,icl,0.02
21,col_embedder.tf_col.blocks.1.multihead_attn2,COL,1,col,0.0
22,col_embedder.tf_col.blocks.0.multihead_attn2.attn,COL,0,col,0.0
23,col_embedder.tf_col.blocks.0.multihead_attn2,COL,0,col,0.0
24,col_embedder.tf_col.blocks.0.multihead_attn1.attn,COL,0,col,0.0
25,col_embedder.tf_col.blocks.0.multihead_attn1,COL,0,col,0.0
26,col_embedder.tf_col.blocks.0,COL,0,col,0.0
27,col_embedder.tf_col.blocks.1.multihead_attn1.attn,COL,1,col,0.0
28,col_embedder.tf_col.blocks.1.multihead_attn1,COL,1,col,0.0
29,col_embedder.tf_col.blocks.1,COL,1,col,0.0
30,col_embedder.tf_col.blocks.2.multihead_attn1.attn,COL,2,col,0.0
31,col_embedder.tf_col.blocks.2.multihead_attn1,COL,2,col,0.0
32,col_embedder.tf_col.blocks.2,COL,2,col,0.0
33,col_embedder.tf_col.blocks.1.multihead_attn2.attn,COL,1,col,0.0
34,row_interactor.tf_row.blocks.1,ROW,1,row,0.0
35,row_interactor.tf_row.blocks.1.attn,ROW,1,row,0.0
36,row_interactor.tf_row.blocks.2,ROW,2,row,0.0
37,row_interactor.tf_row.blocks.2.attn,ROW,2,row,0.0
38,col_embedder.tf_col.blocks.2.multihead_attn2,COL,2,col,0.0
39,col_embedder.tf_col.blocks.2.multihead_attn2.attn,COL,2,col,0.0
40,row_interactor.tf_row.blocks.0,ROW,0,row,0.0
41,row_interactor.tf_row.blocks.0.attn,ROW,0,row,0.0
42,icl_predictor.tf_icl.blocks.7.attn,ICL,7,icl,0.0
43,icl_predictor.tf_icl.blocks.9.attn,ICL,9,icl,0.0
44,icl_predictor.tf_icl.blocks.10.attn,ICL,10,icl,0.0
45,icl_predictor.tf_icl.blocks.11.attn,ICL,11,icl,0.0
